,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,1,Chris Johnson*+,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,3,,16,1,,349,398.9,404.9,373.9,202,1,1
1,2,Adrian Peterson*+,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,7,,18,,,290,332.9,338.9,311.4,143,2,2
2,3,Maurice Jones-Drew*,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,2,,16,,,273,325.5,331.5,299.0,126,3,3
3,4,Aaron Rodgers*,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,10,,5,,3,351,351.0,364.0,358.0,115,1,4
4,5,Ray Rice*,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,3,,8,,,252,330.1,336.1,291.1,105,4,5
5,6,Andre Johnson*+,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,,9,1,,214,314.9,317.9,264.4,98,1,6
6,7,Randy Moss,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,2,,13,1,,206,289.4,292.4,247.9,91,2,7
7,8,Frank Gore*,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,4,,13,,,231,282.6,288.6,256.6,84,5,8
8,9,Thomas Jones,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,2,,14,,,230,240.0,243.0,235.0,83,6,9
9,10,Miles Austin*,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,1,,11,,,198,278.8,281.8,238.3,82,3,10
10,11,Vernon Davis*,SFO,TE,25,16,16,0,0,0,0,0,0,0,,0,128,78,965,12.37,13,0,,13,,,175,252.5,255.5,213.5,76,1,11
11,12,DeSean Jackson*,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,3,,12,,,189,263.3,269.3,232.3,74,4,12
12,13,Dallas Clark*+,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,1,,10,,,172,271.7,274.7,221.7,73,2,13
13,14,Larry Fitzgerald*,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,0,,13,,,187,284.2,287.2,235.7,71,5,14
14,15,Drew Brees*,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.50,2,1,1,-4,-4.00,0,10,,2,,1,306,307.4,321.4,317.9,70,2,15
15,16,Ricky Williams,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,5,,13,1,,217,251.5,258.5,235.0,70,7,16
16,17,Reggie Wayne*,IND,WR,31,16,16,0,1,0,0,1,0,0,,0,149,100,1264,12.64,10,0,,10,,,184,284.4,288.4,235.4,69,6,17
17,18,Roddy White*,ATL,WR,28,16,16,0,0,0,0,0,1,2,2.00,0,165,85,1153,13.56,11,1,,11,,,182,266.5,269.5,224.0,66,7,18
18,19,Antonio Gates*,SDG,TE,29,16,16,0,0,0,0,0,0,0,,0,114,79,1157,14.65,8,1,,8,,,164,242.7,245.7,203.2,65,3,19
19,20,Ryan Grant,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,1,,11,,,211,236.0,242.0,223.5,64,8,20
20,21,Sidney Rice*,MIN,WR,23,16,14,0,1,0,0,0,0,0,,0,121,83,1312,15.81,8,1,,8,,,179,262.2,265.2,220.7,63,8,21
21,22,Brandon Marshall*,DEN,WR,25,15,13,0,0,0,0,0,7,39,5.57,0,154,101,1120,11.09,10,0,,10,,,176,276.9,279.9,226.4,60,9,22
22,23,Fred Jackson,BUF,WR,28,16,11,1,1,27,1,0,237,1062,4.48,2,61,46,371,8.07,2,4,,4,,,172,218.4,224.4,195.4,57,10,23
23,24,Vincent Jackson*,SDG,WR,26,15,15,0,0,0,0,0,3,11,3.67,0,108,68,1167,17.16,9,0,,9,,,172,239.8,242.8,205.8,56,11,24
24,25,Joseph Addai,IND,RB,26,15,15,1,1,22,1,0,219,828,3.78,10,63,51,336,6.59,3,1,,13,,,199,250.3,256.3,224.8,52,9,25
25,26,Steven Jackson*,STL,RB,26,15,15,0,0,0,0,0,324,1416,4.37,4,75,51,322,6.31,0,2,,4,,,198,248.8,254.8,223.3,51,10,26
26,27,Brett Favre*,MIN,QB,40,16,16,363,531,4202,33,7,9,7,0.78,0,1,1,-2,-2.00,0,2,,0,,,287,287.6,297.6,294.1,50,3,27
27,28,Matt Schaub*,HOU,QB,28,16,16,396,583,4770,29,15,48,57,1.19,0,0,0,0,,0,3,,0,,1,285,284.5,302.5,299.5,48,4,28
28,29,Steve Smith*,NYG,WR,24,16,15,0,0,0,0,0,0,0,,0,157,107,1220,11.40,7,0,,7,,,164,271.0,274.0,217.5,48,12,29
