,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 13_level_0
69,68,Shane Vereen,NWE,23,rb,13,1,62,251,3,16,4.0,19.3,1
70,69,Michael Vick,PHI,32,QB,10,10,62,332,1,20,5.4,33.2,11
71,70,Christian Ponder,MIN,24,QB,16,16,60,253,2,29,4.2,15.8,7
72,71,William Powell,ARI,24,rb,13,1,60,217,0,17,3.6,16.7,2
73,72,Shaun Draughn,KAN,25,,16,0,59,233,2,25,3.9,14.6,2
74,73,Marcel Reece*,OAK,27,FB/rb,16,14,59,271,0,17,4.6,16.9,2
75,74,Ryan Williams,ARI,22,rb,5,3,58,164,0,25,2.8,32.8,2
76,75,Brandon Bolden,NWE,22,,10,0,56,274,2,27,4.9,27.4,0
77,76,Aaron Rodgers*,GNB,29,QB,16,16,54,259,2,27,4.8,16.2,5
78,77,Mike Tolbert,CAR,27,fb,16,5,54,183,7,13,3.4,11.4,0
79,78,Rashard Mendenhall,PIT,25,rb,6,4,51,182,0,20,3.6,30.3,3
80,79,Lamar Miller,MIA,21,fb,13,1,51,250,1,28,4.9,19.2,0
81,80,Toby Gerhart,MIN,25,,16,0,50,169,1,22,3.4,10.6,2
82,81,Ryan Tannehill,MIA,24,QB,16,16,49,211,2,31,4.3,13.2,9
83,82,Ryan Fitzpatrick,BUF,30,QB,16,16,48,197,1,20,4.1,12.3,8
84,83,Darren Sproles,NOR,29,rb,13,6,48,244,1,47,5.1,18.8,0
85,84,Tashard Choice,BUF,28,,12,0,47,193,1,22,4.1,16.1,0
86,85,Andy Dalton,CIN,25,QB,16,16,47,120,4,17,2.6,7.5,4
87,86,Ronnie Brown,SDG,31,rb,14,1,46,220,0,21,4.8,15.7,0
88,87,Lance Ball,DEN,27,,15,0,42,158,1,22,3.8,10.5,1
89,88,Montell Owens,JAX,28,fb/rb,13,4,42,209,1,32,5.0,16.1,0
90,89,LeGarrette Blount,TAM,26,,13,0,41,151,2,35,3.7,11.6,0
91,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
92,90,Jay Cutler,CHI,29,QB,15,15,41,233,0,24,5.7,15.5,8
93,91,Jake Locker,TEN,24,QB,11,11,41,291,1,32,7.1,26.5,4
94,92,Chris Ivory,NOR,24,rb,6,2,40,217,2,56,5.4,36.2,0
95,93,Jalen Parmele,JAX,27,rb,11,2,40,143,0,28,3.6,13.0,0
96,94,Curtis Brinkley,SDG,27,rb,10,1,39,115,0,13,2.9,11.5,1
97,95,Josh Freeman,TAM,24,QB,16,16,39,139,0,13,3.6,8.7,10
98,96,Kevin Smith,DET,26,rb,12,2,37,134,1,19,3.6,11.2,0
99,97,Sam Bradford,STL,25,QB,16,16,36,124,1,21,3.4,7.8,7
100,98,Cedric Peerman,CIN,26,rb,14,1,36,258,1,48,7.2,18.4,0
101,99,Mike Goodson,OAK,25,,12,0,35,221,0,43,6.3,18.4,0
102,100,Matthew Stafford,DET,24,QB,16,16,35,126,4,11,3.6,7.9,6
103,101,DuJuan Harris,GNB,24,rb,4,2,34,157,2,21,4.6,39.3,0
104,102,Matt Ryan*,ATL,27,QB,16,16,34,141,1,16,4.1,8.8,3
105,103,Brian Leonard,CIN,28,,15,0,33,106,0,11,3.2,7.1,0
106,104,Delone Carter,IND,25,,10,0,32,122,3,20,3.8,12.2,1
107,105,Joe Flacco,BAL,27,QB,16,16,32,22,3,16,0.7,1.4,9
108,106,Ryan Grant,2TM,30,,5,1,32,132,2,18,4.1,26.4,1
109,107,Tim Tebow,NYJ,25,fb/te,12,2,32,102,0,22,3.2,8.5,0
