,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
26,27,Marques Colston,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,107,80,1143,14.29,8,1,,8,,,162,242.3,245.3,202.3,46,11,27
27,28,Hakeem Nicks,NYG,WR,23,15,15,0,0,0,0,0,0,0,,0,133,76,1192,15.68,7,0,,7,,,161,237.2,240.2,199.2,45,12,28
28,29,Brandon Marshall*,MIA,WR,27,16,16,0,0,0,0,0,1,13,13.00,0,141,81,1214,14.99,6,1,,6,,,161,239.7,242.7,199.2,45,13,29
29,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
30,30,Ryan Mathews*,SDG,RB,24,14,14,0,0,0,0,0,222,1091,4.91,6,59,50,455,9.10,0,5,,6,,,191,240.6,246.6,215.6,42,7,30
31,31,Adrian Peterson,MIN,RB,26,12,12,0,0,0,0,0,208,970,4.66,12,24,18,139,7.72,1,1,,13,,,189,206.9,212.9,197.9,40,8,31
32,32,Aaron Hernandez,NWE,TE,22,14,12,0,0,0,0,0,5,45,9.00,0,113,79,910,11.52,7,1,,7,,,138,216.5,219.5,177.0,40,3,32
33,33,Michael Bush,OAK,RB,27,16,9,0,0,0,0,0,256,977,3.82,7,47,37,418,11.30,1,1,,8,,,188,224.5,230.5,206.0,39,9,33
34,34,Darren Sproles,NOR,RB,28,16,4,0,0,0,0,0,87,603,6.93,2,111,86,710,8.26,7,1,,10,,,187,277.3,283.3,234.3,39,10,34
35,35,A.J. Green*,CIN,WR,23,15,15,0,0,0,0,0,5,53,10.60,0,115,65,1057,16.26,7,1,,7,,,153,218.0,221.0,185.5,37,14,35
36,36,Philip Rivers*,SDG,QB,30,16,16,366,582,4624,27,20,26,36,1.38,1,0,0,0,,0,9,,1,,1,265,264.6,287.6,284.6,36,9,36
37,37,Laurent Robinson,DAL,WR,26,14,4,0,0,0,0,0,0,0,,0,80,54,858,15.89,11,0,,11,,,152,205.8,208.8,178.8,36,15,37
38,38,Steven Jackson,STL,RB,28,15,15,0,0,0,0,0,260,1145,4.40,5,58,42,333,7.93,1,2,,6,,,184,225.8,231.8,204.8,35,11,38
39,39,Nate Washington,TEN,WR,28,16,15,0,0,0,0,0,2,5,2.50,1,121,74,1023,13.82,7,0,,8,,,151,224.8,227.8,187.8,35,16,39
40,40,Frank Gore*,SFO,RB,28,16,15,0,0,0,0,0,282,1211,4.29,8,31,17,114,6.71,0,2,,8,,,183,197.5,203.5,189.0,34,12,40
41,41,Julio Jones,ATL,WR,22,13,13,0,0,0,0,0,6,56,9.33,0,95,54,959,17.76,8,1,,8,,,150,203.5,206.5,176.5,33,17,41
42,42,Greg Jennings*,GNB,WR,28,13,13,0,0,0,0,0,0,0,,0,101,67,949,14.16,9,0,,9,,,149,215.9,218.9,182.4,33,18,42
43,43,Tony Gonzalez*,ATL,TE,35,16,16,0,0,0,0,0,0,0,,0,116,80,875,10.94,7,0,,7,,,130,209.5,212.5,169.5,32,4,43
44,44,Reggie Bush,MIA,RB,26,15,15,0,0,0,0,0,216,1086,5.03,6,52,43,296,6.88,1,4,,7,,,180,223.2,229.2,201.7,32,13,44
45,45,Dez Bryant,DAL,WR,23,15,13,0,0,0,0,0,1,5,5.00,0,103,63,928,14.73,9,3,,9,,,147,210.3,213.3,178.8,31,19,45
46,46,Dwayne Bowe,KAN,WR,27,16,14,0,0,0,0,0,1,12,12.00,0,142,81,1159,14.31,5,1,,5,,,147,228.1,231.1,187.6,31,20,46
47,47,Jermichael Finley,GNB,TE,24,16,13,0,0,0,0,0,0,0,,0,92,55,767,13.95,8,0,,8,,,127,179.7,182.7,152.2,29,5,47
48,48,Jason Witten,DAL,TE,29,16,16,0,0,0,0,0,0,0,,0,117,79,942,11.92,5,1,,5,,,124,203.2,206.2,163.7,27,6,48
49,49,Mark Sanchez,NYJ,QB,25,16,16,308,543,3474,26,18,37,103,2.78,6,0,0,0,,0,10,,6,,,255,253.3,277.3,271.3,26,10,49
50,50,Steve Johnson,BUF,WR,25,16,16,0,0,0,0,0,0,0,,0,134,76,1004,13.21,7,0,,7,,,142,218.4,221.4,180.4,26,21,50
51,51,Fred Jackson,BUF,RB,30,10,10,0,0,0,0,0,170,934,5.49,6,50,39,442,11.33,0,2,,6,,,174,212.6,218.6,193.1,25,14,51
52,52,Matt Forte*,CHI,RB,26,12,12,0,1,0,0,0,203,997,4.91,3,76,52,490,9.42,1,2,,4,,,173,224.7,230.7,198.7,24,15,52
53,53,Antonio Gates*,SDG,TE,31,13,13,0,0,0,0,0,0,0,,0,88,64,778,12.16,7,0,,7,,,120,183.8,186.8,151.8,22,7,53
54,54,Chris Johnson,TEN,RB,26,16,16,0,0,0,0,0,262,1047,4.00,4,79,57,418,7.33,0,3,,4,,,171,227.5,233.5,199.0,22,16,54
55,55,Beanie Wells,ARI,RB,23,14,14,0,0,0,0,0,245,1047,4.27,10,16,10,52,5.20,0,4,,10,,,170,179.9,182.9,174.9,21,17,55
56,56,Pierre Garcon,IND,WR,25,16,16,0,0,0,0,0,4,28,7.00,0,134,70,947,13.53,6,2,,6,,,134,203.5,206.5,168.5,17,22,56
57,57,Vernon Davis,SFO,TE,27,16,16,0,0,0,0,0,2,-5,-2.50,0,95,67,792,11.82,6,3,,6,,,115,181.7,184.7,148.2,17,8,57
58,58,Shonn Greene,NYJ,RB,26,16,15,0,0,0,0,0,253,1054,4.17,6,41,30,211,7.03,0,1,,6,,,163,192.5,198.5,177.5,14,18,58
59,59,Torrey Smith,BAL,WR,22,16,14,0,0,0,0,0,4,39,9.75,0,95,50,841,16.82,7,1,,7,,,130,180.0,183.0,155.0,14,23,59
60,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
61,60,Dustin Keller,NYJ,TE,27,16,12,0,0,0,0,0,0,0,,0,115,65,815,12.54,5,1,,5,,,112,176.5,179.5,144.0,14,9,60
62,61,Rashard Mendenhall,PIT,RB,24,15,15,0,0,0,0,0,228,928,4.07,9,28,18,154,8.56,0,1,,9,,,162,180.2,186.2,171.2,14,19,61
63,62,Brent Celek,PHI,TE,26,16,16,0,0,0,0,0,0,0,,0,98,62,811,13.08,5,0,,5,,,111,173.1,176.1,142.1,14,10,62
64,63,Brandon Lloyd,2TM,WR,30,15,14,0,1,0,0,0,0,0,,0,148,70,966,13.80,5,1,,5,,,129,196.6,199.6,161.6,13,24,63
65,64,Michael Vick,PHI,QB,31,13,13,253,423,3303,18,14,76,589,7.75,1,0,0,0,,0,10,,1,,,241,241.0,261.0,255.0,12,11,64
66,65,Ahmad Bradshaw,NYG,RB,25,12,9,0,0,0,0,0,171,659,3.85,9,44,34,267,7.85,2,1,,11,1,,161,194.6,200.6,177.6,12,20,65
67,66,Antonio Brown*,PIT,WR,23,16,3,0,0,0,0,0,7,41,5.86,0,124,69,1108,16.06,2,0,,3,,,127,201.9,204.9,167.4,11,25,66
68,67,Brandon Pettigrew,DET,TE,26,16,16,0,0,0,0,0,0,0,,0,126,83,777,9.36,5,0,,5,,,108,190.7,193.7,149.2,10,11,67
69,68,Jabar Gaffney,WAS,WR,31,16,15,0,0,0,0,0,0,0,,0,114,68,947,13.93,5,1,,5,,,125,192.7,195.7,158.7,9,26,68
70,69,Willis McGahee*,DEN,RB,30,15,14,0,0,0,0,0,249,1199,4.82,4,20,12,51,4.25,1,4,,5,1,,157,169.0,172.0,163.0,8,21,69
71,70,DeSean Jackson,PHI,WR,25,15,15,0,0,0,0,0,7,41,5.86,0,104,58,961,16.57,4,1,,4,,,124,182.2,185.2,153.2,8,27,70
72,71,Darrius Heyward-Bey,OAK,WR,24,15,14,0,0,0,0,0,0,0,,0,115,64,975,15.23,4,1,,4,,,122,185.5,188.5,153.5,5,28,71
73,72,Reggie Wayne,IND,WR,33,16,16,0,0,0,0,0,0,0,,0,132,75,960,12.80,4,0,,4,,,120,195.0,198.0,157.5,4,29,72
74,73,Mike Tolbert,SDG,RB,26,15,1,0,0,0,0,0,121,490,4.05,8,79,54,433,8.02,2,2,,10,,,152,206.3,212.3,179.3,4,22,73
75,74,Cedric Benson,CIN,RB,29,15,15,0,0,0,0,0,273,1067,3.91,6,22,15,82,5.47,0,5,,6,,,151,165.9,168.9,158.4,2,23,74
76,75,Santonio Holmes,NYJ,WR,27,16,16,0,0,0,0,0,3,27,9.00,0,101,51,654,12.82,8,2,,8,,,116,167.1,170.1,141.6,,30,75
77,76,Marquis Johnson,STL,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,3,76
78,77,Korey Hall,NOR,,28,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,2,77
79,78,Ryan Fitzpatrick,BUF,QB,29,16,16,353,569,3832,24,23,56,215,3.84,0,0,0,0,,0,7,,0,1,,229,226.8,255.8,249.8,,12,78
80,79,Ben Roethlisberger*,PIT,QB,29,15,15,324,513,4077,21,14,31,70,2.26,0,0,0,0,,0,9,,0,,,226,226.1,243.1,240.1,,13,
81,80,Josh Freeman,TAM,QB,23,15,15,346,551,3592,16,22,55,238,4.33,4,1,0,-4,,0,9,,4,,2,225,215.1,243.1,237.1,,14,
82,81,Alex Smith,SFO,QB,27,16,16,273,445,3144,17,5,52,179,3.44,2,0,0,0,,0,7,,2,,1,216,215.7,226.7,220.7,,15,
83,82,Joe Flacco,BAL,QB,26,16,16,312,542,3610,20,12,39,88,2.26,1,1,1,-8,-8.00,0,11,,1,,,214,215.4,230.4,226.9,,16,
84,83,Andy Dalton*,CIN,QB,24,16,16,300,516,3398,20,13,37,152,4.11,1,1,0,0,,0,5,,1,,,213,211.1,230.1,224.1,,18,
85,84,Tim Tebow,DEN,QB,24,14,11,126,271,1729,12,6,122,660,5.41,6,0,0,0,,0,14,,6,2,,213,211.2,223.2,217.2,,17,
86,85,Matt Hasselbeck,TEN,QB,36,16,16,319,518,3571,18,14,20,52,2.60,0,0,0,0,,0,4,,0,,,192,192.0,209.0,206.0,,19,
87,86,Tarvaris Jackson,SEA,QB,28,15,14,271,450,3091,14,13,40,108,2.70,1,0,0,0,,0,9,,1,,,172,170.4,189.4,183.4,,20,
88,87,Colt McCoy,CLE,QB,25,13,13,265,463,2733,14,11,61,212,3.48,0,1,1,-5,-5.00,0,11,,0,,,166,165.0,182.0,175.5,,22,
89,88,Matt Moore,MIA,QB,27,13,12,210,347,2497,16,9,32,65,2.03,2,0,0,0,,0,14,,2,,,166,164.4,176.4,173.4,,21,
90,89,Matt Schaub,HOU,QB,30,10,10,178,292,2479,15,6,15,9,0.60,2,0,0,0,,0,3,,2,,,160,160.1,169.1,166.1,,23,
91,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
92,90,Rex Grossman,WAS,QB,31,13,13,265,458,3151,16,20,20,11,0.55,1,0,0,0,,0,8,,1,,,159,157.1,180.1,177.1,,24,
93,91,BenJarvus Green-Ellis,NWE,RB,26,16,6,0,0,0,0,0,181,667,3.69,11,13,9,159,17.67,0,0,,11,,,149,157.6,163.6,153.1,,24,
94,92,Jonathan Stewart,CAR,RB,24,16,3,0,0,0,0,0,142,761,5.36,4,61,47,413,8.79,1,1,,5,,,147,194.4,200.4,170.9,,25,
95,93,Jay Cutler,CHI,QB,28,10,10,182,314,2319,13,7,18,55,3.06,1,0,0,0,,0,7,,1,,,142,142.3,152.3,149.3,,25,
96,94,DeAngelo Williams,CAR,RB,28,16,14,0,0,0,0,0,155,836,5.39,7,25,16,135,8.44,0,0,,7,,,139,155.1,161.1,147.1,,26,
97,95,Carson Palmer,OAK,QB,32,10,9,199,328,2753,13,16,16,20,1.25,1,0,0,0,,0,2,,1,,,138,138.1,157.1,154.1,,26,
98,96,Pierre Thomas,NOR,RB,27,16,7,0,0,0,0,0,110,562,5.11,5,59,50,425,8.50,1,2,,6,,,137,184.7,190.7,159.7,,27,
99,97,Ben Tate,HOU,RB,23,15,2,0,0,0,0,0,175,942,5.38,4,19,13,98,7.54,0,4,,4,,,128,141.0,144.0,134.5,,28,
100,98,Blaine Gabbert,JAX,QB,22,15,14,210,413,2214,12,11,48,98,2.04,0,0,0,0,,0,14,,0,,,124,124.4,138.4,135.4,,27,
101,99,LeGarrette Blount,TAM,RB,25,14,14,0,0,0,0,0,184,781,4.24,5,25,15,148,9.87,0,5,,5,,,123,137.9,143.9,130.4,,29,
102,100,Christian Ponder,MIN,QB,23,11,10,158,291,1853,13,13,28,219,7.82,0,0,0,0,,0,6,,0,,,122,122.0,141.0,135.0,,28,
103,101,Roy Helu,WAS,RB,23,15,5,0,0,0,0,0,151,640,4.24,2,59,49,379,7.73,1,2,,3,,,120,168.9,174.9,144.4,,31,
104,102,Brandon Jacobs,NYG,RB,29,14,6,0,0,0,0,0,152,571,3.76,7,23,15,128,8.53,1,3,,8,1,,120,134.9,140.9,127.4,,32,
105,103,DeMarco Murray,DAL,RB,23,13,7,0,0,0,0,0,164,897,5.47,2,35,26,183,7.04,0,1,,2,,,120,146.0,152.0,133.0,,30,
106,104,C.J. Spiller,BUF,RB,24,16,11,0,0,0,0,0,107,561,5.24,4,54,39,269,6.90,2,2,,6,,,119,158.0,164.0,138.5,,33,
107,105,Malcom Floyd,SDG,WR,30,12,9,0,0,0,0,0,0,0,,0,70,43,856,19.91,5,0,,5,,,116,158.6,161.6,137.1,,32,
108,106,Jeremy Maclin,PHI,WR,23,13,13,0,0,0,0,0,1,1,1.00,0,96,63,859,13.63,5,1,,5,,,116,179.0,182.0,147.5,,31,
109,107,Lance Moore,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,73,52,627,12.06,8,0,,8,2,,115,166.7,169.7,140.7,,33,
110,108,Michael Crabtree,SFO,WR,24,15,14,0,0,0,0,0,1,6,6.00,0,115,72,874,12.14,4,0,,4,1,,114,186.0,189.0,150.0,,34,
111,109,Plaxico Burress,NYJ,WR,34,16,13,0,0,0,0,0,0,0,,0,96,45,612,13.60,8,0,,8,,,109,154.2,157.2,131.7,,36,
112,110,Eric Decker,DEN,WR,24,16,13,0,1,0,0,0,1,1,1.00,0,96,44,612,13.91,8,1,,9,,,109,159.3,162.3,137.3,,35,
113,111,Anquan Boldin,BAL,WR,31,14,14,0,0,0,0,0,0,0,,0,106,57,887,15.56,3,1,,3,,,107,163.7,166.7,135.2,,37,
114,112,Kevin Kolb,ARI,QB,27,9,9,146,253,1955,9,8,17,65,3.82,0,0,0,0,,0,8,,0,,,107,104.7,115.7,112.7,,30,
115,113,Darren McFadden,OAK,RB,24,7,7,0,0,0,0,0,113,614,5.43,4,23,19,154,8.11,1,1,,5,,,107,125.8,131.8,116.3,,34,
116,114,John Skelton,ARI,QB,23,8,7,151,275,1913,11,14,28,128,4.57,0,0,0,0,,0,4,,0,,,107,105.3,125.3,119.3,,29,
117,115,James Jones,GNB,WR,27,16,0,0,0,0,0,0,0,0,,0,55,38,635,16.71,7,1,,7,,,106,143.5,146.5,124.5,,39,
118,116,Denarius Moore,OAK,WR,23,13,10,0,0,0,0,0,5,61,12.20,1,76,33,618,18.73,5,1,,6,,,106,136.9,139.9,120.4,,38,
119,117,Doug Baldwin,SEA,WR,23,16,1,0,0,0,0,0,1,-2,-2.00,0,85,51,788,15.45,4,0,,4,,,103,153.6,156.6,128.1,,40,
120,118,Donald Brown,IND,RB,24,16,2,0,0,0,0,0,134,645,4.81,5,19,16,86,5.38,0,0,,5,,,103,119.1,122.1,111.1,,35,
121,119,Nate Burleson,DET,WR,30,16,11,0,0,0,0,0,11,85,7.73,0,110,73,757,10.37,3,1,,3,,,102,175.2,178.2,138.7,,41,
122,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
123,120,Sam Bradford,STL,QB,24,10,10,191,357,2164,6,6,18,26,1.44,0,0,0,0,,0,10,,0,,,101,101.2,110.2,107.2,,31,
124,121,Ryan Grant,GNB,RB,29,15,14,0,0,0,0,0,134,559,4.17,2,24,19,268,14.11,1,2,,3,,,101,119.7,125.7,110.2,,36,
125,122,Miles Austin,DAL,WR,27,10,10,0,0,0,0,0,2,3,1.50,0,73,43,579,13.47,7,1,,7,,,100,143.2,146.2,121.7,,43,
126,123,Deion Branch,NWE,WR,32,15,15,0,0,0,0,0,0,0,,0,90,51,702,13.76,5,0,,5,,,100,151.2,154.2,125.7,,44,
127,124,Matt Cassel,KAN,QB,29,9,9,160,269,1713,10,9,25,99,3.96,0,1,1,-4,-4.00,0,5,,0,,,100,101.0,113.0,109.5,,32,
128,125,Robert Meachem,NOR,WR,27,16,8,0,0,0,0,0,4,18,4.50,0,60,40,620,15.50,6,0,,6,,,100,139.8,142.8,119.8,,45,
129,126,Titus Young,DET,WR,22,16,9,0,0,0,0,0,2,15,7.50,0,86,48,607,12.65,6,1,,6,1,,100,148.2,151.2,124.2,,42,
130,127,Early Doucet,ARI,WR,26,16,6,0,0,0,0,0,0,0,,0,97,54,689,12.76,5,1,,5,,,99,152.9,155.9,125.9,,47,
131,128,Jerome Simpson,CIN,WR,25,16,14,0,0,0,0,0,0,0,,0,105,50,725,14.50,4,0,,4,,,99,146.5,149.5,121.5,,48,
132,129,Mike Williams,TAM,WR,24,16,15,0,0,0,0,0,1,3,3.00,0,124,65,771,11.86,3,2,,3,,,99,160.4,163.4,127.9,,46,
133,130,Fred Davis,WAS,TE,25,12,12,0,0,0,0,0,0,0,,0,88,59,796,13.49,3,1,,3,,,98,156.6,159.6,127.1,,12,
134,131,David Nelson,BUF,WR,25,16,13,0,0,0,0,0,0,0,,0,97,61,658,10.79,5,0,,5,,,98,156.8,159.8,126.3,,49,
135,132,Toby Gerhart,MIN,RB,24,16,5,0,0,0,0,0,109,531,4.87,1,28,23,190,8.26,3,1,,4,,,96,119.1,125.1,107.6,,37,
136,133,Jermaine Gresham*,CIN,TE,23,14,13,0,0,0,0,0,0,0,,0,92,56,596,10.64,6,1,,6,,,96,151.6,154.6,123.6,,13,
137,134,Dexter McCluster,KAN,WR,22,16,4,0,0,0,0,0,114,516,4.53,1,64,46,328,7.13,1,4,,2,,,96,142.4,148.4,119.4,,50,
138,135,Kevin Smith,DET,RB,25,7,4,0,0,0,0,0,72,356,4.94,4,28,22,179,8.14,3,1,,7,,,96,117.5,123.5,106.5,,38,
139,136,Jared Cook,TEN,TE,24,16,5,0,0,0,0,0,0,0,,0,81,49,759,15.49,3,2,,3,,,94,142.9,145.9,118.4,,15,
140,137,Kellen Winslow,TAM,TE,28,16,15,0,0,0,0,0,0,0,,0,123,75,763,10.17,2,2,,2,2,,94,167.3,170.3,129.8,,14,
141,138,Steve Breaston,KAN,WR,28,16,13,0,0,0,0,0,1,25,25.00,0,98,61,785,12.87,2,0,,2,,,93,154.0,157.0,123.5,,51,
142,139,LaDainian Tomlinson,NYJ,RB,32,14,1,0,0,0,0,0,75,280,3.73,1,61,42,449,10.69,2,0,,3,,,91,132.9,138.9,111.9,,39,
143,140,Peyton Hillis,CLE,RB,25,10,9,0,0,0,0,0,161,587,3.65,3,34,22,130,5.91,0,2,,3,,,90,111.7,117.7,100.7,,40,
144,141,Kyle Orton,2TM,QB,29,9,8,150,252,1758,9,9,11,13,1.18,0,0,0,0,,0,4,,0,,,90,89.6,101.6,98.6,,33,
145,142,Damian Williams,TEN,WR,23,15,13,0,0,0,0,0,0,0,,0,94,45,592,13.16,5,0,,5,,,89,134.2,137.2,111.7,,52,
146,143,Jahvid Best,DET,RB,22,6,6,0,0,0,0,0,84,390,4.64,2,40,27,287,10.63,1,0,,3,,,86,112.7,118.7,99.2,,42,
147,144,Owen Daniels,HOU,TE,29,15,15,0,0,0,0,0,0,0,,0,85,54,677,12.54,3,0,,3,,,86,139.7,142.7,112.7,,16,
148,145,Felix Jones,DAL,RB,24,12,8,0,0,0,0,0,127,575,4.53,1,45,33,221,6.70,0,5,,1,,,86,118.6,124.6,102.1,,43,
149,146,Greg Olsen,CAR,RB,26,16,13,0,0,0,0,0,0,0,,0,89,45,540,12.00,5,1,,5,1,,86,131.0,134.0,108.5,,41,
150,147,Jason Campbell,OAK,QB,30,6,6,100,165,1170,6,4,18,60,3.33,2,0,0,0,,0,3,,2,,,85,80.8,87.8,84.8,,34,
151,148,Johnny Knox,CHI,WR,25,14,11,0,0,0,0,0,0,0,,0,69,37,727,19.65,2,1,,2,,,85,121.7,124.7,103.2,,53,
152,149,James Starks,GNB,RB,25,13,2,0,0,0,0,0,133,578,4.35,1,37,29,216,7.45,0,2,,1,,,85,114.4,120.4,99.9,,44,
153,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
154,150,Jake Ballard,NYG,TE,24,14,13,0,0,0,0,0,0,0,,0,61,38,604,15.89,4,0,,4,,,84,122.4,125.4,103.4,,17,
155,151,Greg Little,CLE,WR,22,16,12,0,0,0,0,0,3,15,5.00,0,119,61,709,11.62,2,0,,2,,,84,145.4,148.4,114.9,,54,
156,152,Marion Barber,CHI,RB,28,11,1,0,0,0,0,0,114,422,3.70,6,9,5,50,10.00,0,1,,6,,,83,88.2,91.2,85.7,,45,
157,153,Ed Dickson,BAL,TE,24,16,16,0,0,0,0,0,0,0,,0,89,54,528,9.78,5,0,,5,,,83,136.8,139.8,109.8,,18,
158,154,Mark Ingram,NOR,RB,22,10,4,0,0,0,0,0,122,474,3.89,5,13,11,46,4.18,0,1,,5,,,82,93.0,96.0,87.5,,46,
